boundary_times_sec,stimulus_file,Boundary count,Confidence Rating,stimulus_name,predictability,old_video_code,old_pair_number,video_code_second_version,pair_number_second_version,included_in_new_version,block,global_position_in_block,participant_id
"[4.694764,16.329034,22.178657]",poster_v1.mp4,3.0,Neutral,poster,Predictable,P21,21,P20,20,True,1.0,22.0,6001
"[2.406681,6.016307,8.475675,13.502891,17.109365,22.507258]",poster_v2.mp4,6.0,Moderately confident,poster,Unpredictable,U21,21,U20,20,True,2.0,22.0,6001
"[5.553592,9.38228,14.86276,25.197074,32.060473,40.25394,43.307453]",printer_v1.mp4,7.0,Very confident,printer,Predictable,P22,22,P21,21,True,2.0,24.0,6001
"[6.626849,12.642732,23.529645,31.144553,39.410627,42.471833]",printer_v2.mp4,6.0,Neutral,printer,Unpredictable,U22,22,U21,21,True,1.0,24.0,6001
"[4.272725,11.791934,15.211527]",record_v1.mp4,3.0,Moderately confident,record,Predictable,P23,23,P22,22,True,1.0,21.0,6001
"[1.393688,2.198867,3.376106,10.076946,14.547935]",record_v2.mp4,5.0,Very unconfident,record,Unpredictable,U23,23,U22,22,True,2.0,21.0,6001
"[4.534409,8.985927,11.217203]",shopping_v1.mp4,3.0,Slightly unconfident,shopping,Predictable,P24,24,P23,23,True,1.0,23.0,6001
"[3.09178,5.024376,7.780619,9.602068,11.30854]",shopping_v2.mp4,5.0,Neutral,shopping,Unpredictable,U24,24,U23,23,True,2.0,23.0,6001
"[10.170691,15.695068,20.886217,23.263338]",skateboard_v1.mp4,4.0,Moderately confident,skateboard,Predictable,P25,25,P24,24,True,1.0,25.0,6001
"[4.488623,9.427695,16.894548,20.852878,23.272542]",skateboard_v2.mp4,5.0,Moderately confident,skateboard,Unpredictable,U25,25,U24,24,True,2.0,25.0,6001
"[6.059217,9.627548,14.319532,18.090906,22.409061,26.244531]",suitcase_v1.mp4,6.0,Moderately confident,suitcase,Predictable,P26,26,P25,25,True,1.0,26.0,6001
"[1.594861,3.18381,6.065067,9.843043,14.329604,18.463531,22.87603,26.237088]",suitcase_v2.mp4,8.0,Moderately confident,suitcase,Unpredictable,U26,26,U25,25,True,2.0,26.0,6001
"[4.223432,9.858897,16.46763,21.807763,31.066234,32.844999,35.346144,38.582331]",sunbathing_v1.mp4,8.0,Moderately confident,sunbathing,Predictable,P27,27,P26,26,True,1.0,27.0,6001
"[7.539623,12.246524,17.389035,22.665209,30.532889,33.278102,35.738327,38.730668]",sunbathing_v2.mp4,8.0,Very confident,sunbathing,Unpredictable,U27,27,U26,26,True,2.0,27.0,6001
"[2.447426,6.619003,12.019141,19.737417,24.545528,27.552708,30.036479]",tea_v1.mp4,7.0,Very confident,tea,Predictable,P28,28,P27,27,True,2.0,28.0,6001
"[6.708726,13.103821,19.849426,25.057003,27.323731,30.392223]",tea_v2.mp4,6.0,Very confident,tea,Unpredictable,U28,28,U27,27,True,1.0,28.0,6001
"[4.92732,10.97098,17.303068,24.415547,29.114977]",tennis_v1.mp4,5.0,Moderately confident,tennis,Predictable,P29,29,P28,28,True,1.0,29.0,6001
"[2.431377,4.965154,10.263056,15.953018,24.213673,28.888145]",tennis_v2.mp4,6.0,Neutral,tennis,Unpredictable,U29,29,U28,28,True,2.0,29.0,6001
"[3.034512,8.13688,12.193698,19.796247]",walking_v1.mp4,4.0,Moderately confident,walking,Predictable,P31,31,P29,29,True,1.0,31.0,6001
"[1.79432,10.308182,20.206779]",walking_v2.mp4,3.0,Slightly unconfident,walking,Unpredictable,U31,31,U29,29,True,2.0,31.0,6001
"[13.034859,17.504869,24.110827,29.740692]",whiteboard_v1.mp4,4.0,Neutral,whiteboard,Predictable,P32,32,P30,30,True,2.0,32.0,6001
"[8.88451,12.822397,18.003294,20.807538,23.624774,28.98571]",whiteboard_v2.mp4,6.0,Slightly unconfident,whiteboard,Unpredictable,U32,32,U30,30,True,1.0,32.0,6001
"[9.859692,11.213392,14.268377,16.141426]",library_v1.mp4,4.0,Moderately confident,library,Predictable,P16,16,,,False,2.0,16.0,6001
"[5.256391,7.281911,11.449361,13.619996,17.04494,23.338168]",vending_v1.mp4,6.0,Moderately confident,vending,Predictable,P30,30,,,False,2.0,30.0,6001
"[1.991691,5.082878,13.07048,14.77798]",library_v2.mp4,4.0,Slightly unconfident,library,Unpredictable,U16,16,,,False,1.0,16.0,6001
"[5.610525,7.523772,12.597879,17.661319,22.125563]",vending_v2.mp4,5.0,Moderately confident,vending,Unpredictable,U30,30,,,False,1.0,30.0,6001
