PROLIFIC_PID,randomized_pair_order,stimulus_name,predictability,boundary_times_sec,boundary_count,block,global_position_in_block,video_attention_failure_type
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",music,Predictable,"[0.286893,2.502565,3.727003,7.310816,9.90254,11.606349,13.518463,15.590608,17.766534,19.014934,21.654442,22.838346,24.646363,26.366456,27.502304,28.638406,29.60654,30.502365,31.982521,34.246642,35.575351]",21.0,2.0,1.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",bathroom,Predictable,"[0.714338,1.738776,2.890667,4.386822,5.946606,6.946467,8.714653,9.491268,11.274549,12.186773,13.995105,14.795324,15.850479,16.938418,17.8744,18.7226,19.786493,22.17104,23.418864,24.506748,25.595098,27.098696,29.186495,30.058464,32.810781,34.267172]",26.0,2.0,2.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",fireplace,Predictable,"[0.802619,3.706664,4.99435,5.818442,7.674871,10.058412,10.906781,12.234498,14.107054,16.986675,22.08269,23.674776,25.098432,26.258744,27.93908,28.754433,29.33851,30.058619]",18.0,2.0,3.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",printer,Predictable,"[0.698547,2.434645,3.858604,6.386952,8.122282,9.154739,11.434613,15.018654,16.650579,18.490649,19.922623,21.299188,23.47498,24.37047,27.93114,28.922803,30.386476,31.187269,32.026592,32.986521,36.43503,40.802612,41.786528,43.146457,43.962889]",25.0,2.0,4.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",gym,Unpredictable,"[1.558893,2.566708,3.966502,4.878395,6.49425,7.39057,8.31887,12.022743,14.782895,16.238543,17.078775,17.999207,19.190635,20.014389,20.686375,21.742476,22.967529,26.326235]",18.0,2.0,5.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",lamp,Predictable,"[0.574634,3.430572,5.470574,7.75859,10.462218,11.710551,13.551039,17.142587,19.318358,22.430567,23.926712,25.19107,26.926868,28.823088]",14.0,2.0,6.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",baking,Unpredictable,"[0.890658,4.33081,6.058524,8.994563,10.843104,13.291346,16.394909,19.258763,20.834484,22.7145,24.178464,25.538567,28.091353]",13.0,2.0,7.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",football,Predictable,"[3.074397,6.091032,8.635192,12.714629,14.194377,15.722497,16.362786,17.402405,18.418824,19.61064,20.874941,21.962926,23.930809,26.451012,28.898511,29.938633,31.474444,32.474397,34.49873]",19.0,2.0,8.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",bike,Unpredictable,"[2.078872,5.15062,7.142431,8.094782,8.719639,9.734471,10.622586,11.758991,13.566671,17.33455,19.527341,21.414486,22.758573,25.134555,28.966587]",15.0,2.0,9.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",bank,Predictable,"[1.43496,3.707127,4.618668,6.2505,7.77054,9.2425,10.418679,11.498776,12.722774,14.211647,15.986791,17.426769,18.602805]",13.0,2.0,10.0,
